FECHA;HORA;ESPECIAL;DURACION;Llamado;Llamante;TIPO_CLIENTE;IDIOMA;COORDINADOR;INICIO;FIN;TIEMPO_COLA;ATENDIDA;CODIGO
0000-00-00;09:36:00;NO;00:00:00;34678;9111111;MOSSOS;Búlgaro;1453;;;3;NO;004000062ED5CAD6CB900505698CE95
0000-00-00;09:34:02;NO;00:00:00;34678;9111111;"ASILO Y REFUGIO";Bambara;1280;;;20;NO;004000062E85CAD6CB900505698CE95
0000-00-00;09:34:30;NO;00:00:00;34678;9111111;MOSSOS;Búlgaro;1453;09:35:00;09:35:40;0;SI;003000001695CADB858000C295545C1
0000-00-00;09:32:25;NO;00:00:00;34678;9111111;OTROS;Pashto/Pastu;1355;;;7;NO;004000062CA5CAD6CB900505698CE95
0000-00-00;09:32:00;NO;00:00:00;34678;9111111;"ASILO Y REFUGIO";Bambara;1303;;;4;NO;004000062D35CAD6CB900505698CE95
0000-00-00;09:28:18;NO;00:08:24;34678;9111111;COMISARIAS;Árabe;1301;09:30:16;09:38:40;9;SI;004000062935CAD6CB900505698CE95
0000-00-00;09:27:16;NO;00:00:00;34678;9111111;"ASILO Y REFUGIO";Suninké/Serahulle/Sarakhollé;1296;;;7;NO;004000062765CAD6CB900505698CE95
0000-00-00;09:25:49;NO;00:06:03;34678;9111111;"ASILO Y REFUGIO";Urdu/Paquistaní;1425;09:28:05;09:34:08;5;SI;004000062605CAD6CB900505698CE95
0000-00-00;09:19:45;NO;00:10:51;34678;9111111;MOSSOS;Búlgaro;1425;09:22:18;09:33:09;3;SI;004000062105CAD6CB900505698CE95
0000-00-00;09:21:45;NO;00:00:08;34678;9111111;"ASILO Y REFUGIO";Wolof;1413;09:22:51;09:23:04;9;NO;0040000622F5CAD6CB900505698CE95
0000-00-00;09:19:17;NO;00:00:00;34678;9111111;OTROS;Ruso;1354;;;4;NO;004000061DA5CAD6CB900505698CE95
0000-00-00;08:53:35;NO;00:07:31;34678;93213;"ASILO Y REFUGIO";Malinke/Mandinka/Mandinga/Mandé/Manden;1413;08:56:36;09:04:07;6;SI;004000061005CAD6CB900505698CE95
0000-00-00;08:53:35;NO;00:07:31;34678;93213;COMISARIAS;Albanés;1425;08:56:36;09:04:07;6;SI;009000016595CAD6CB100505698CE89
0000-00-00;08:25:25;NO;00:28:41;34678;93213;COMISARIAS;Árabe;1303;08:28:20;08:57:01;6;SI;004000060725CAD6CB900505698CE95
0000-00-00;08:24:29;NO;00:12:58;34678;93213;COMISARIAS;Albanés;1270;08:26:45;08:39:43;15;SI;004000060595CAD6CB900505698CE95
0000-00-00;08:23:39;NO;00:04:31;34678;93213;"ASILO Y REFUGIO";Wolof;1429;08:25:14;08:29:45;16;SI;004000060545CAD6CB900505698CE95
0000-00-00;07:48:34;SI;00:11:34;34678;93213;COMISARIAS;Albanés;1310;07:49:58;08:01:32;12;SI;00400005FF55CAD6CB900505698CE95
0000-00-00;07:40:50;SI;00:05:55;34678;93213;"Teletraduccion ";Árabe;;07:41:52;07:47:47;0;SI;00400005FDF5CAD6CB900505698CE95
0000-00-00;07:21:36;SI;00:03:37;34678;93213;COMISARIAS;Albanés;1310;07:22:49;07:26:26;7;SI;00400005FBE5CAD6CB900505698CE95
0000-00-00;04:58:12;SI;00:04:40;34678;93213;"Teletraduccion ";Francés;;04:58:54;05:03:34;0;SI;00400005FA65CAD6CB900505698CE95
0000-00-00;04:43:52;SI;00:01:37;34678;93213;"Teletraduccion ";Francés;;04:44:48;04:46:25;0;SI;00400005F925CAD6CB900505698CE95
0000-00-00;04:15:42;SI;00:52:23;34678;93213;MOSSOS;Inglés;1310;04:18:26;05:10:49;26;SI;00400005F7A5CAD6CB900505698CE95
0000-00-00;03:12:55;SI;00:12:58;34678;93213;"Teletraduccion ";Árabe;;03:13:54;03:26:52;0;SI;00400005F605CAD6CB900505698CE95
0000-00-00;02:39:29;SI;00:00:00;34678;93213;"Teletraduccion ";Eslovaco;;;;0;NO;00400005F475CAD6CB900505698CE95
0000-00-00;02:38:13;SI;00:00:00;34678;8600;"Teletraduccion ";Eslovaco;;;;0;NO;00400005F3A5CAD6CB900505698CE95
0000-00-00;02:36:21;SI;00:00:00;34678;8600;"Teletraduccion ";Eslovaco;;;;0;NO;00400005F2B5CAD6CB900505698CE95
0000-00-00;02:03:52;SI;00:04:36;34678;93213;"ASILO Y REFUGIO";Francés;1310;02:05:18;02:09:54;7;SI;00400005F235CAD6CB900505698CE95
0000-00-00;01:50:48;SI;00:01:10;34678;0;MOSSOS;Árabe;1310;01:52:10;01:53:20;8;SI;00400005F1B5CAD6CB900505698CE95
0000-00-00;01:44:04;SI;00:01:31;34678;0;MOSSOS;Árabe;1310;01:47:53;01:49:24;7;SI;00400005F135CAD6CB900505698CE95
0000-00-00;01:45:13;SI;00:01:41;34678;93213;MOSSOS;Árabe;1310;01:45:13;01:46:55;0;SI;0090000162C5CAD6CB100505698CE89
0000-00-00;01:40:34;SI;00:07:08;34678;0;MOSSOS;Italiano;1310;01:42:24;01:49:32;8;SI;00400005F0B5CAD6CB900505698CE95
0000-00-00;01:20:06;SI;00:18:42;34678;93213;"Teletraduccion ";Árabe;;01:20:46;01:39:28;0;SI;00400005EF25CAD6CB900505698CE95
0000-00-00;01:14:08;SI;00:25:33;34678;0;MOSSOS;Árabe;1310;01:17:03;01:42:36;4;SI;00400005EDB5CAD6CB900505698CE95
0000-00-00;01:10:08;SI;00:09:53;34678;0;MOSSOS;Italiano;1310;01:12:34;01:22:27;3;SI;00400005EC45CAD6CB900505698CE95
0000-00-00;00:52:47;SI;00:13:54;34678;0;COMISARIAS;Árabe;1310;00:54:27;01:08:21;3;SI;00400005EAD5CAD6CB900505698CE95
0000-00-00;00:42:58;SI;00:25:36;34678;93213;"Teletraduccion ";Árabe;;00:43:46;01:09:22;0;SI;00400005E935CAD6CB900505698CE95
0000-00-00;00:15:04;SI;00:01:20;34678;93213;COMISARIAS;Árabe;1310;00:16:44;00:18:04;29;SI;00400005E845CAD6CB900505698CE95
0000-00-00;00:06:16;SI;00:05:52;34678;93213;COMISARIAS;Árabe;1310;00:09:01;00:14:53;15;SI;00400005E6A5CAD6CB900505698CE95
0000-00-00;23:53:09;SI;00:22:06;34678;93213;OTROS;Francés;1310;23:55:09;00:17:15;6;SI;00400005E555CAD6CB900505698CE95
0000-00-00;23:35:26;SI;00:10:13;34678;93213;OTROS;Lituano;1310;23:38:24;23:48:37;14;SI;00400005E3B5CAD6CB900505698CE95
0000-00-00;23:20:18;SI;00:10:11;34678;0;MOSSOS;Árabe;1310;23:21:44;23:31:55;13;SI;00400005E335CAD6CB900505698CE95
0000-00-00;23:03:49;SI;00:14:22;34678;0;MOSSOS;Marroquí;1310;23:06:12;23:20:34;3;SI;00400005E1E5CAD6CB900505698CE95
0000-00-00;22:53:50;SI;00:11:19;34678;93213;COMISARIAS;Albanés;1310;22:55:03;23:06:22;6;SI;00400005DF85CAD6CB900505698CE95
0000-00-00;22:53:57;SI;00:26:30;34678;93213;"Teletraduccion ";Francés;;22:54:33;23:21:03;0;SI;00400005DFB5CAD6CB900505698CE95
0000-00-00;22:48:52;SI;00:04:44;34678;93213;"Teletraduccion ";Árabe;;22:49:28;22:54:12;0;SI;00400005DE45CAD6CB900505698CE95
0000-00-00;22:48:07;SI;00:00:04;34678;93213;"Teletraduccion ";Árabe;;22:48:44;22:48:48;0;SI;00400005DD05CAD6CB900505698CE95
0000-00-00;22:47:22;SI;00:00:05;34678;93213;"Teletraduccion ";Árabe;;22:47:58;22:48:03;0;SI;00400005DBC5CAD6CB900505698CE95
0000-00-00;22:39:49;SI;00:15:55;34678;93213;"Teletraduccion ";Árabe;;22:40:26;22:56:21;0;SI;00400005DA85CAD6CB900505698CE95
0000-00-00;22:37:42;SI;00:08:46;34678;93213;"Teletraduccion ";Árabe;;22:38:31;22:47:17;0;SI;00400005D945CAD6CB900505698CE95
0000-00-00;22:07:58;SI;00:12:46;34678;93213;OTROS;Inglés;1310;22:10:15;22:23:01;39;SI;00400005D7D5CAD6CB900505698CE95
0000-00-00;21:01:53;NO;00:04:04;34678;112;"Teletraduccion ";Inglés;;21:02:18;21:06:22;0;SI;00400005D5D5CAD6CB900505698CE95
